#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	76
Stop measure: 	77	Result: BACKWARD
5	0.0205078	[0:0]	[2000000:2000000]
5	0.219971	[0:0]	[2000000:2000000]
5	0.107178	[0:0]	[2000000:2000000]
5	-0.601562	[-0.601562:0]	[9:2000000]
5	-0.00415039	[-0.601562:0]	[9:2000000]
5	0.231934	[-0.601562:0]	[9:2000000]
5	-0.00317383	[-0.601562:0]	[9:2000000]
5	-0.0419922	[-0.601562:0]	[9:2000000]
5	-0.0183105	[-0.601562:0]	[9:2000000]
5	-0.12793	[-0.601562:0]	[9:2000000]
5	-0.115479	[-0.601562:0]	[9:2000000]
5	-0.181396	[-0.601562:0]	[9:2000000]
5	-0.0605469	[-0.601562:0]	[9:2000000]
5	-0.124268	[-0.601562:0]	[9:2000000]
5	-0.0791016	[-0.601562:0]	[9:2000000]
5	-0.10083	[-0.601562:0]	[9:2000000]
5	-0.122314	[-0.601562:0]	[9:2000000]
5	-0.0498047	[-0.601562:0]	[9:2000000]
5	-0.118408	[-0.601562:0]	[9:2000000]
5	-0.336182	[-0.601562:0]	[9:2000000]
5	-0.294922	[-0.601562:0]	[9:2000000]
5	-0.333008	[-0.601562:0]	[9:2000000]
5	-0.264893	[-0.601562:0]	[9:2000000]
5	-0.209717	[-0.601562:0]	[9:2000000]
5	-0.186035	[-0.601562:0]	[9:2000000]
5	-0.124512	[-0.601562:0]	[9:2000000]
5	-0.151611	[-0.601562:0]	[9:2000000]
5	-0.122314	[-0.601562:0]	[9:2000000]
5	-0.125488	[-0.601562:0]	[9:2000000]
5	-0.180176	[-0.601562:0]	[9:2000000]
5	-0.175537	[-0.601562:0]	[9:2000000]
5	-0.154297	[-0.601562:0]	[9:2000000]
5	-0.142822	[-0.601562:0]	[9:2000000]
5	-0.156494	[-0.601562:0]	[9:2000000]
5	-0.189941	[-0.601562:0]	[9:2000000]
5	-0.186768	[-0.601562:0]	[9:2000000]
5	-0.1604	[-0.601562:0]	[9:2000000]
5	-0.143799	[-0.601562:0]	[9:2000000]
5	-0.125977	[-0.601562:0]	[9:2000000]
5	-0.157471	[-0.601562:0]	[9:2000000]
5	-0.174316	[-0.601562:0]	[9:2000000]
5	-0.17334	[-0.601562:0]	[9:2000000]
5	-0.184082	[-0.601562:0]	[9:2000000]
5	-0.161377	[-0.601562:0]	[9:2000000]
5	-0.135254	[-0.601562:0]	[9:2000000]
5	-0.156494	[-0.601562:0]	[9:2000000]
5	-0.169922	[-0.601562:0]	[9:2000000]
5	-0.162842	[-0.601562:0]	[9:2000000]
5	-0.156982	[-0.601562:0]	[9:2000000]
5	-0.162354	[-0.601562:0]	[9:2000000]
5	-0.14917	[-0.601562:0]	[9:2000000]
5	-0.171387	[-0.601562:0]	[9:2000000]
5	-0.172607	[-0.601562:0]	[9:2000000]
5	-0.153564	[-0.601562:0]	[9:2000000]
5	-0.165527	[-0.601562:0]	[9:2000000]
5	-0.146973	[-0.601562:0]	[9:2000000]
5	-0.150879	[-0.601562:0]	[9:2000000]
5	-0.171631	[-0.601562:0]	[9:2000000]
5	-0.174072	[-0.601562:0]	[9:2000000]
5	-0.170166	[-0.601562:0]	[9:2000000]
5	-0.1604	[-0.601562:0]	[9:2000000]
5	-0.133545	[-0.601562:0]	[9:2000000]
5	-0.154297	[-0.601562:0]	[9:2000000]
5	-0.180176	[-0.601562:0]	[9:2000000]
5	-0.166748	[-0.601562:0]	[9:2000000]
5	-0.170654	[-0.601562:0]	[9:2000000]
5	-0.156982	[-0.601562:0]	[9:2000000]
5	-0.147217	[-0.601562:0]	[9:2000000]
5	-0.158447	[-0.601562:0]	[9:2000000]
result : FORWARD:)

6	0.00732422	[0:0]	[2000000:2000000]
6	-0.0012207	[0:0]	[2000000:2000000]
6	-0.00634766	[0:0]	[2000000:2000000]
6	0.0012207	[0:0]	[2000000:2000000]
6	0.0229492	[0:0]	[2000000:2000000]
6	-0.00683594	[0:0]	[2000000:2000000]
6	0.00244141	[0:0]	[2000000:2000000]
6	-0.0771484	[0:0]	[2000000:2000000]
6	-0.143555	[0:0]	[2000000:2000000]
6	-0.0556641	[0:0]	[2000000:2000000]
6	-0.155518	[0:0]	[2000000:2000000]
6	-0.303955	[-0.303955:0]	[11:2000000]
6	0.168457	[-0.303955:0]	[11:2000000]
6	0.167969	[-0.303955:0]	[11:2000000]
6	0.234375	[-0.303955:0]	[11:2000000]
6	0.168701	[-0.303955:0]	[11:2000000]
6	0.10083	[-0.303955:0]	[11:2000000]
6	0.160889	[-0.303955:0]	[11:2000000]
6	0.138428	[-0.303955:0]	[11:2000000]
6	0.119629	[-0.303955:0]	[11:2000000]
6	0.088623	[-0.303955:0]	[11:2000000]
6	0.0754395	[-0.303955:0]	[11:2000000]
6	0.114258	[-0.303955:0]	[11:2000000]
6	0.13501	[-0.303955:0]	[11:2000000]
6	0.0292969	[-0.303955:0]	[11:2000000]
